potential,N_A,N_B,m_A,m_B,T,rho,S_EX,eta,D_A,D_B,R,gamma
WS,512.0,512.0,2.0,1.0,0.67,1.296,-5.246673,146.37865686288256,0.001100490904380358,0.0016541916223079733,0.9831640768023896,5.084635119341174
WS,512.0,512.0,2.0,1.0,0.75,1.296,-5.017374,54.97056216218751,0.0024405614849323,0.003431838130783584,0.9851155156275004,5.119704474981264
WS,512.0,512.0,2.0,1.0,0.8490000000000001,1.296,-4.7919410000000005,30.95764293706413,0.004501703963841234,0.0063170390246063395,0.9866986455079296,5.129705197937432
WS,512.0,512.0,2.0,1.0,1.037,1.296,-4.460192,18.01262857366395,0.008992958673517182,0.012341388942052887,0.9886573594765768,5.111585009224483
WS,512.0,512.0,2.0,1.0,1.226,1.296,-4.206829,13.40068930527586,0.013555665043933388,0.01876813497763011,0.9899186110181232,5.080043736216494
WS,512.0,512.0,2.0,1.0,1.414,1.296,-4.003343,11.127704359412448,0.018747489774508776,0.02527124601321523,0.9908283191741052,5.049652271774385
WS,512.0,512.0,2.0,1.0,1.6030000000000002,1.296,-3.834651,9.711557420830538,0.024652243847075428,0.031889712521897075,0.9915154761276479,5.020789041013624
WS,512.0,512.0,2.0,1.0,1.791,1.296,-3.691609,8.82741367385299,0.029015897334593695,0.039218275363942866,0.9921034055226096,4.994613515830912
WS,512.0,512.0,2.0,1.0,1.98,1.296,-3.5681010000000004,8.195843987163224,0.0357223757275722,0.04768965034591085,0.9925651774339016,4.9701695507420025
WS,512.0,512.0,2.0,1.0,3.0,1.296,-3.104537,6.572661053804089,0.06687361461999196,0.08536765407784741,0.9942382865809928,4.869826596524968
WS,668.0,334.0,2.0,1.0,0.4,1.1,-5.411677,170.7254332064532,0.0006415336982758837,0.0008743870176767558,0.9508020232225536,5.242257643661583
WS,668.0,334.0,2.0,1.0,0.5,1.1,-4.977542,32.884080645615036,0.002629972506290309,0.003712740286785239,0.9672340487677504,5.455045926834147
WS,668.0,334.0,2.0,1.0,0.6,1.1,-4.671397,17.996057850781654,0.005250293786665449,0.007264442419107922,0.9734156292212952,5.4614500287934495
WS,668.0,334.0,2.0,1.0,0.7,1.1,-4.4315190000000015,13.018973153454356,0.00826751646322782,0.0114600604374109,0.9769185455233238,5.431773885323357
WS,668.0,334.0,2.0,1.0,0.8,1.1,-4.235506,10.608071735472565,0.011453317197994436,0.015027798737965578,0.9793550755377568,5.3959350542707565
WS,668.0,334.0,2.0,1.0,1.0,1.1,-3.928763,8.181463290337629,0.017751996715292425,0.023466049705449587,0.9826371331790232,5.327795398783515
WS,668.0,334.0,2.0,1.0,1.2,1.1,-3.696846,7.0061761240125815,0.024507628279730024,0.034208494029021284,0.9847859966263798,5.2681664490785005
WS,668.0,334.0,2.0,1.0,1.4,1.1,-3.5126480000000004,6.3487729567564095,0.03319676111488118,0.04252152173415828,0.986385315314832,5.217974186928483
WS,668.0,334.0,2.0,1.0,2.0,1.1,-3.125764,5.407902447327793,0.05450370730527503,0.07096561109245135,0.9893856779433046,5.1015998949415655
WS,750.0,250.0,2.0,1.0,0.4,1.1,-5.824357,5252.769731613054,5.9786846768547634e-05,0.000102135256820776,0.9672556855568932,5.334381785924411
WS,750.0,250.0,2.0,1.0,0.415,1.1,-5.739226,1613.1326529975886,0.00012659683157230904,0.00020240494374794242,0.970102566189872,5.29992314724245
WS,750.0,250.0,2.0,1.0,0.435,1.1,-5.642862,664.1370821735737,0.000241064292310413,0.0003747736569538465,0.972347867407166,5.263860438593938
WS,750.0,250.0,2.0,1.0,0.45,1.1,-5.573854,369.04400102703886,0.0003719609102133677,0.0005417357718248248,0.9742399363533488,5.340631662294152
WS,750.0,250.0,2.0,1.0,0.5,1.1,-5.368318,126.89152248222484,0.0009548203295974668,0.0013562580525328953,0.9775623963799378,5.349901784104291
WS,750.0,250.0,2.0,1.0,0.6,1.1,-5.039057,39.51492902880469,0.002684709911504183,0.003772611795806001,0.9813320848630319,5.3457807216557125
WS,750.0,250.0,2.0,1.0,0.8,1.1,-4.564408,17.344523137510308,0.0074068318052746,0.010157328827294143,0.9851265705941306,5.291660294297381
WS,750.0,250.0,2.0,1.0,1.0,1.1,-4.2285580000000005,12.074021644859712,0.012898207489807674,0.01658853405786109,0.9872095709831876,5.233212941601464
WS,750.0,250.0,2.0,1.0,1.2,1.1,-3.973867,9.582951702501486,0.01855024019495004,0.024914667350016455,0.9886316248524144,5.181246906424249
WS,750.0,250.0,2.0,1.0,1.4,1.1,-3.771791,8.276349051607525,0.025403423878593,0.033088066375261974,0.989638850824486,5.136000146498351
WS,750.0,250.0,2.0,1.0,2.0,1.1,-3.348298,6.516504162210456,0.045767938602049606,0.059885425174138814,0.9916965550290242,5.034645058261188
WS,750.0,250.0,2.0,1.0,2.7,1.5,-5.056866,114.4,0.00467189397790993,0.006871653689645177,0.998,4.562
WS,750.0,250.0,2.0,1.0,3.0,1.5,-4.8698169999999985,74.63,0.00760012165899234,0.010044271568873978,0.998,4.553
WS,750.0,250.0,2.0,1.0,4.0,1.5,-4.3916,36.85,0.01865383374098695,0.02579307702340218,0.999,4.527
WS,750.0,250.0,2.0,1.0,8.0,1.5,-3.429852,16.95,0.07533841621813342,0.0996493369759343,0.999,4.456
WS,750.0,250.0,2.0,1.0,12.0,1.5,-2.979253,13.88,0.1388986787419115,0.1761429029451649,0.999,4.413
WS,750.0,250.0,2.0,1.0,10.0,2.0,-4.977595,220.0,0.009662716136964912,0.013460617197953946,0.999,4.2810000000000015
WS,750.0,250.0,2.0,1.0,12.0,2.0,-4.657367,120.9,0.01974457529543892,0.026463475994147685,0.999,4.273
WS,750.0,250.0,2.0,1.0,14.0,2.0,-4.402017,85.56,0.03064783678362735,0.04228552756617332,0.999,4.266
WS,750.0,250.0,2.0,1.0,18.0,2.0,-4.015604,58.27,0.05657866383205126,0.0780308011625653,0.999,4.254
WS,750.0,250.0,2.0,1.0,20.0,2.0,-3.864542,51.44,0.06974447457837313,0.09061760791195356,0.999,4.249
WS,820.0,204.0,2.0,1.0,0.5,1.0,-4.688668,16.159060723362128,0.004947637681332211,0.006710376946396404,0.9649127749568333,5.6687241188277815
WS,820.0,204.0,2.0,1.0,0.6,1.0,-4.412153,11.56268224097617,0.008098102715055379,0.010869812794560963,0.970256827196634,5.609072120159575
WS,820.0,204.0,2.0,1.0,0.7,1.0,-4.192604,9.10336020191991,0.011419876230447788,0.015480675289308637,0.9738822059712208,5.552739528802973
WS,820.0,204.0,2.0,1.0,0.8,1.0,-4.010726,7.8016327523990965,0.014940286657036068,0.02033074169644689,0.9765012800969536,5.50207112694179
WS,820.0,204.0,2.0,1.0,1.0,1.0,-3.727436,6.3787595873491965,0.02311661758108324,0.029538335214619973,0.9802569929468059,5.416541042501469
WS,820.0,204.0,2.0,1.0,1.2,1.0,-3.510871,5.647873457479942,0.03091602550013718,0.03896451806669999,0.9827104063123347,5.34565406941736
WS,820.0,204.0,2.0,1.0,1.6,1.0,-3.198598,4.8799905660770175,0.04675475866193388,0.06354641797692692,0.9859607935334322,5.239994471922975
WS,820.0,204.0,2.0,1.0,2.0,1.0,-2.978602,4.4797290459994885,0.0634894099832715,0.08153527911684473,0.9880695859788065,5.157849873567887
